attr,sinc,intel,fun,like,int_corr,amb,samerace,exphappy,prob
6.0,8.0,6.0,8.0,4.0,0.52,7.0,0,6.0,3.0
7.0,8.0,7.0,6.0,4.0,0.43,8.0,0,3.0,5.0
5.0,8.0,8.0,8.0,4.0,0.17,8.0,1,6.0,3.0
6.0,9.0,8.0,6.0,4.0,-0.35,8.0,1,8.0,7.0
8.0,6.0,10.0,5.0,6.0,0.24,6.0,1,3.0,1.0
8.0,10.0,10.0,9.0,7.0,0.65,8.0,1,7.0,4.0
4.0,8.0,8.0,5.0,5.0,0.33,5.0,0,4.0,7.0
3.0,8.0,6.0,6.0,6.0,0.19,6.0,1,4.0,4.0
1.0,8.0,8.0,2.0,6.0,0.51,8.0,0,6.0,8.0
4.0,7.0,6.0,6.0,5.0,0.17,9.0,0,3.0,3.0
6.0,5.0,6.0,5.0,5.0,0.22,6.0,1,5.0,4.0
7.0,8.0,7.0,8.0,7.0,0.54,5.0,0,3.0,5.0
7.0,8.0,10.0,5.0,5.0,0.19,9.0,1,5.0,5.0
6.0,7.0,6.0,7.0,6.0,0.41,6.0,0,3.0,4.0
6.0,8.0,8.0,9.0,7.0,0.24,8.0,0,3.0,3.0
6.0,9.0,9.0,10.0,10.0,-0.5,9.0,0,7.0,10.0
5.0,6.0,8.0,7.0,7.0,0.51,6.0,0,2.0,7.0
4.0,8.0,8.0,5.0,5.0,0.32,7.0,1,6.0,2.0
3.0,6.0,8.0,7.0,7.0,0.52,8.0,1,7.0,8.0
2.0,3.0,3.0,5.0,6.0,0.22,5.0,1,6.0,5.0
7.0,3.0,10.0,10.0,8.0,0.24,7.0,1,5.0,10.0
5.0,7.0,6.0,5.0,6.0,0.18,6.0,0,2.0,4.0
8.0,9.0,7.0,8.0,9.0,-0.38,7.0,1,2.0,5.0
6.0,9.0,7.0,7.0,6.0,0.16,7.0,0,6.0,3.0
7.0,10.0,10.0,6.0,7.0,-0.09,6.0,0,7.0,5.0
6.0,6.0,6.0,6.0,6.0,-0.06,4.0,1,3.0,5.0
8.0,9.0,10.0,8.0,7.0,-0.59,5.0,1,7.0,6.0
7.0,8.0,9.0,7.0,6.0,-0.09,4.0,0,7.0,4.0
7.0,8.0,8.0,7.0,7.0,-0.07,8.0,0,6.0,7.0
8.0,9.0,10.0,7.0,8.0,-0.26,7.0,1,4.0,7.0
6.0,6.0,6.0,10.0,5.0,0.15,6.0,1,6.0,5.0
7.0,8.0,8.0,5.0,7.0,0.19,7.0,1,5.0,6.0
4.0,7.0,8.0,4.0,4.0,0.13,7.0,0,4.0,7.0
9.0,9.0,9.0,8.0,8.0,0.46,9.0,1,3.0,6.0
6.0,6.0,7.0,6.0,5.0,0.37,8.0,0,5.0,4.0
7.0,8.0,9.0,9.0,8.0,0.27,8.0,0,4.0,3.0
